id;Name;lon;lat;District;station_name;RouteNumbers
6227;«Севастопольский просп. (к/ст, выс.)», улица Обручева (6227);37.56234623;55.64989437;район Черёмушки;Севастопольский просп. (к/ст, выс.);А1
7844;«Просп. Вернадского», улица Крупской (7844);37.52379363;55.68538299;Ломоносовский район;Просп. Вернадского;А1
8066;«Социальный центр», улица Крупской (8066);37.52856799;55.68332838;Ломоносовский район;Социальный центр;А1
8067;«Ул. Крупской, 2», улица Крупской (8067);37.53294736;55.68080015;Ломоносовский район;Ул. Крупской, 2;А1
8068;«Социальный центр», улица Крупской (8068);37.52825403;55.68279254;Ломоносовский район;Социальный центр;А1
13669;«Кладбище Губцево», проезд без названия (13669);37.24027298;55.51398372;поселение Первомайское;Кладбище Губцево;А1001
13671;«Кладбище Губцево», проезд без названия (13671);37.24066968;55.51470958;поселение Первомайское;Кладбище Губцево;А1001
17455;«Садовое товарищество Луч», проезд без названия (17455);37.23585418;55.52840364;поселение Первомайское;Садовое товарищество Луч;А1001
17456;«Садовое товарищество Луч», проезд без названия (17456);37.23561312;55.52912283;поселение Первомайское;Садовое товарищество Луч;А1001
1002016;«Поворот на Птичное», проезд без названия (1002016);37.22164861;55.53303831;поселение Первомайское;Поворот на Птичное;А1001
1002017;«Верховье», проезд без названия (1002017);37.22808263;55.53259815;поселение Первомайское;Верховье;А1001
1002018;«Верховье», проезд без названия (1002018);37.2295208;55.53221196;поселение Первомайское;Верховье;А1001
1002019;«Поворот на Клоково», проезд без названия (1002019);37.23854476;55.52392036;поселение Первомайское;Поворот на Клоково;А1001
1002020;«Поворот на Клоково», проезд без названия (1002020);37.23854588;55.5223811;поселение Первомайское;Поворот на Клоково;А1001
17334;«Сады Песчаные», проезд без названия (17334);37.05927949;55.22723084;поселение Роговское;Сады Песчаные;А1004
17343;«Лесхоз», Варшавское шоссе (17343);37.11822759;55.26779004;поселение Роговское;Лесхоз;А1004
17344;«Лесхоз», Варшавское шоссе (17344);37.11962678;55.26803079;поселение Роговское;Лесхоз;А1004
17345;«Кресты - 2», Варшавское шоссе (17345);37.09649155;55.25921091;поселение Роговское;Кресты - 2;А1004
17346;«Кресты - 1», Варшавское шоссе (17346);37.10313387;55.26174459;поселение Роговское;Кресты - 1;А1004
17347;«Кресты - 1», Варшавское шоссе (17347);37.10181904;55.26154466;поселение Роговское;Кресты - 1;А1004
17348;«Кресты - 2», Варшавское шоссе (17348);37.09521964;55.25900493;поселение Роговское;Кресты - 2;А1004
17349;«Кленовка», Варшавское шоссе (17349);37.05451485;55.24312634;поселение Роговское;Кленовка;А1004
17350;«Кленовка», Варшавское шоссе (17350);37.05334838;55.24303094;поселение Роговское;Кленовка;А1004
17351;«Бунчиха», Варшавское шоссе (17351);37.03792499;55.2367611;поселение Роговское;Бунчиха;А1004
17359;«Сады Песчаные», проезд без названия (17359);37.0589054491;55.2278880791;поселение Роговское;Сады Песчаные;А1004
17363;«Рогово», проезд без названия (17363);37.07579719;55.21618024;поселение Роговское;Рогово;А1004
1000393;«Соколенок», Варшавское шоссе (1000393);37.0892814;55.2567041;поселение Роговское;Соколенок;А1004
1000451;«Бунчиха», проезд без названия (1000451);37.03750847;55.23608474;поселение Роговское;Бунчиха;А1004
1000615;«СНТ Витамины», Варшавское шоссе (1000615);37.0598560037;55.2454476904;поселение Роговское;СНТ Витамины;А1004
1000616;«СНТ Витамины», Варшавское шоссе (1000616);37.06213359;55.24603514;поселение Роговское;СНТ Витамины;А1004
